"Turn","InvokeMs","PageLabelMs","Label"
"156","2.7","36.7","Page 377 of 900"
"157","5.4","5.8","Page 378 of 900"
"158","1.2","14.8","Page 379 of 900"
"159","2.6","36.3","Page 380 of 900"
"160","5.2","12.3","Page 381 of 900"
"161","2.5","31.4","Page 382 of 900"
"162","4.2","23.1","Page 383 of 900"
"163","0.9","8.8","Page 384 of 900"
"164","1","32.7","Page 385 of 900"
"165","1.1","30","Page 386 of 900"
"166","5","26.2","Page 387 of 900"
"167","1.4","27.6","Page 388 of 900"
"168","0.9","39","Page 389 of 900"
"169","2.6","4","Page 390 of 900"
"170","2.8","3.5","Page 391 of 900"
"171","1.1","15.9","Page 392 of 900"
"172","0.9","17","Page 393 of 900"
"173","1","42.5","Page 394 of 900"
"174","2.4","3.6","Page 395 of 900"
"175","2.4","3.1","Page 396 of 900"
"176","8.8","9.3","Page 397 of 900"
"177","3.1","4.1","Page 398 of 900"
"178","2.3","3.4","Page 399 of 900"
"179","1.1","29","Page 400 of 900"
"180","2.5","3.7","Page 401 of 900"
"181","3.1","7","Page 402 of 900"
"182","6.3","7","Page 403 of 900"
"183","4.1","4.7","Page 404 of 900"
"184","2.3","2.8","Page 405 of 900"
"185","4.5","5.7","Page 406 of 900"
"186","0.9","14.6","Page 407 of 900"
"187","1.5","22.4","Page 408 of 900"
"188","2.8","3.9","Page 409 of 900"
"189","3.1","3.9","Page 410 of 900"
"190","0.8","17.1","Page 411 of 900"
"191","1.1","14.3","Page 412 of 900"
"192","0.9","28.3","Page 413 of 900"
"193","3.7","4.4","Page 414 of 900"
"194","0.8","15","Page 415 of 900"
"195","1.1","25.7","Page 416 of 900"
"196","2.7","3.5","Page 417 of 900"
"197","2.8","28.9","Page 418 of 900"
"198","2.7","4.2","Page 419 of 900"
"199","4.4","5.2","Page 420 of 900"
"200","2.9","4.3","Page 421 of 900"
"201","0.8","21.6","Page 422 of 900"
"202","5.4","6.5","Page 423 of 900"
"203","2.6","3.8","Page 424 of 900"
"204","4.3","4.8","Page 425 of 900"
"205","2.6","3","Page 426 of 900"
"206","6.8","7.3","Page 427 of 900"
"207","11.7","14.3","Page 428 of 900"
"208","2.4","2.9","Page 429 of 900"
"209","6","6.5","Page 430 of 900"
"210","2.8","3.6","Page 431 of 900"
"211","3.3","4.3","Page 432 of 900"
"212","2.4","2.9","Page 433 of 900"
"213","2.2","28.4","Page 434 of 900"
"214","2.3","2.8","Page 435 of 900"
"215","3.1","16.5","Page 436 of 900"
"216","0.8","13.8","Page 437 of 900"
"217","0.9","15.6","Page 438 of 900"
"218","3.3","3.7","Page 439 of 900"
"219","1.1","20.3","Page 440 of 900"
"220","4.4","5.6","Page 441 of 900"
"221","4.3","4.8","Page 442 of 900"
"222","2.6","3.5","Page 443 of 900"
"223","7.5","8.9","Page 444 of 900"
"224","3","3.6","Page 445 of 900"
"225","2.5","4","Page 446 of 900"
"226","3.4","4.3","Page 447 of 900"
"227","3.3","4","Page 448 of 900"
"228","3.2","4","Page 449 of 900"
"229","4.4","6.4","Page 450 of 900"
"230","1.6","24.7","Page 451 of 900"
"231","2.5","3.2","Page 452 of 900"
"232","1.5","31.5","Page 453 of 900"
"233","2.7","4.1","Page 454 of 900"
"234","1","15.4","Page 455 of 900"
"235","0.9","13.8","Page 456 of 900"
"236","0.9","24.9","Page 457 of 900"
"237","1","14.4","Page 458 of 900"
"238","2.9","3.8","Page 459 of 900"
"239","7.6","29.3","Page 460 of 900"
"240","2","18.8","Page 461 of 900"
"241","2.8","3.5","Page 462 of 900"
"242","2.8","3.5","Page 463 of 900"
"243","2.5","4.4","Page 464 of 900"
"244","3.6","10.9","Page 465 of 900"
"245","2.8","3.4","Page 466 of 900"
"246","2.7","3.2","Page 467 of 900"
"247","3.2","26.1","Page 468 of 900"
"248","2.3","3.1","Page 469 of 900"
"249","1","15.1","Page 470 of 900"
"250","1.1","14.6","Page 471 of 900"
