"Turn","InvokeMs","PageLabelMs","Label"
"156","0.8","46.7","Page 157 of 900"
"157","0.9","123.7","Page 158 of 900"
"158","1","217.7","Page 159 of 900"
"159","1.1","76","Page 160 of 900"
"160","1.2","248.8","Page 161 of 900"
"161","1","13.5","Page 162 of 900"
"162","1","13","Page 163 of 900"
"163","1","14.4","Page 164 of 900"
"164","1.1","26.7","Page 165 of 900"
"165","1.2","14.3","Page 166 of 900"
"166","1.1","14.7","Page 167 of 900"
"167","0.9","20.6","Page 168 of 900"
"168","1.3","46.3","Page 169 of 900"
"169","1.1","44","Page 170 of 900"
"170","1.1","28.9","Page 171 of 900"
"171","0.8","28.5","Page 172 of 900"
"172","0.9","138.7","Page 173 of 900"
"173","0.8","254.2","Page 174 of 900"
"174","0.8","31.4","Page 175 of 900"
"175","0.9","92.5","Page 176 of 900"
"176","0.8","241.3","Page 177 of 900"
"177","1","69.2","Page 178 of 900"
"178","1","15.3","Page 179 of 900"
"179","1.2","17.6","Page 180 of 900"
"180","0.9","65","Page 181 of 900"
"181","1.1","26","Page 182 of 900"
"182","1.4","28.4","Page 183 of 900"
"183","0.9","14.8","Page 184 of 900"
"184","1","61.3","Page 185 of 900"
"185","0.8","29.3","Page 186 of 900"
"186","0.9","15.1","Page 187 of 900"
"187","1.2","15.3","Page 188 of 900"
"188","0.9","44.2","Page 189 of 900"
"189","1","59.9","Page 190 of 900"
"190","0.8","13.4","Page 191 of 900"
"191","0.8","32.7","Page 192 of 900"
"192","0.9","14.3","Page 193 of 900"
"193","0.8","25.9","Page 194 of 900"
"194","1","28.5","Page 195 of 900"
"195","0.9","23","Page 196 of 900"
"196","0.9","105.7","Page 197 of 900"
"197","1","221.5","Page 198 of 900"
"198","0.8","34.5","Page 199 of 900"
"199","0.7","90","Page 200 of 900"
"200","1.9","229.3","Page 201 of 900"
"201","0.9","79.5","Page 202 of 900"
"202","0.8","232.9","Page 203 of 900"
"203","1","14.7","Page 204 of 900"
"204","0.9","81.8","Page 205 of 900"
"205","1.5","199.5","Page 206 of 900"
"206","1.3","69.1","Page 207 of 900"
"207","1","141.5","Page 208 of 900"
"208","0.9","61.7","Page 209 of 900"
"209","1.5","31.6","Page 210 of 900"
"210","1.9","94.4","Page 211 of 900"
"211","0.9","260.5","Page 212 of 900"
"212","1.3","30.3","Page 213 of 900"
"213","1.6","31.1","Page 214 of 900"
"214","2","86.3","Page 215 of 900"
"215","1","200.7","Page 216 of 900"
"216","0.9","56.4","Page 217 of 900"
"217","0.9","30.1","Page 218 of 900"
"218","1.2","37.7","Page 219 of 900"
"219","0.9","30.8","Page 220 of 900"
"220","0.8","29.9","Page 221 of 900"
